uid,kol用户名,抖音号,是否入驻,粉丝数,价格,预计播放量
62686436967,快学英语Emily老师,Emily0000,是,6601460,"'1-20s视频': 48000, '20-60s视频': 58000",263685.0
104407218073,科学火箭叔,unclerocket,是,1277511,"'1-20s视频': 6000, '20-60s视频': 30000",170287.0
769246719902350,动物世界,CCTVAnimalWorld,否,3310167,,
4754210701,爱开车的老阿姨,mumdrivecars,是,1349656,"'1-20s视频': 8200, '20-60s视频': 26500",1175871.0
59835658097,老吴《排面至上》,E0435E,是,331598,"'1-20s视频': 8000, '20-60s视频': 8000",438819.0
77374802853,家教有方,211167238,是,6355488,"'1-20s视频': 7700, '20-60s视频': 7700",1848572.0
66288012701,摆货小天才,999jiuhao,是,7787598,"'1-20s视频': 180000, '20-60s视频': 220000",5503414.0
3720349961173368,问政山东,wzsd_sdrt,否,1324835,,
98989547667,杨巅峰,59080591cc,是,1668702,"'1-20s视频': 56750, '20-60s视频': 56750",202832.0
103999858587,戴建业,,否,4430627,,
97078359588,阿阳（周三病愈战游三）,SD02121,是,4181238,"'1-20s视频': 65000, '20-60s视频': 75000",632324.0
76911525408,林允Jelly,,否,12228084,,
79345906903,航拍摄影家 Shawn Wang,Shawn.Wang,是,1654490,"'1-20s视频': 15000, '20-60s视频': 35000",377694.0
60227614217,闯非洲小胖子,Dai761392585,是,5552285,"'1-20s视频': 40000, '20-60s视频': 50000",591444.0
69515564263,司氏砸缸,1989315long,是,8555022,"'1-20s视频': 90000, '20-60s视频': 100000",1287619.0
4019427006755096,玩车研习社,dybnizb07qur,是,4161532,"'1-20s视频': 55000, '20-60s视频': 60000",1997673.0
62643163398,徐冬冬,,否,4129631,,
62748712432,云小朵,31156157,是,4469729,"'1-20s视频': 49000, '20-60s视频': 58000",875287.0
21609074922667,刘媛媛 12·12 大浮力专场来袭,liuyuanyuan1991,是,6915945,"'1-20s视频': 65000, '20-60s视频': 65000",178190.0
81530232600,河南合众汇金,,否,693197,,
68473786894,支付宝的朋友们,AlipayStory,是,1026828,"'1-20s视频': 1000, '20-60s视频': 1000",41749.0
479010523449660,阿力酷,2236008381,是,3332065,"'1-20s视频': 60000, '20-60s视频': 150000",560607.0
3737927633602936,乌鸦电影,Crowmovie,是,7221858,"'1-20s视频': 30000, '20-60s视频': 30000",615661.0
95692908512,陈诗远,607631998,是,4241685,"'1-20s视频': 38000, '20-60s视频': 58400",284419.0
2752788745945832,力哥影視,LiGeYS2020,是,7993121,"'1-20s视频': 5000, '20-60s视频': 30000",1363776.0
3883079584714167,飞叔玩车,feishuwanche,是,1421649,"'1-20s视频': 13000, '20-60s视频': 17000",89519.0
